FOLDER,ELEMENT,ATTRIBUTE,,,,,,,,
default,Dir I>,cpSupplyTransformer,None,,,,,,,
default,Dir I>,cpSupplyTrfStation,None,,,,,,,
default,Dir I>,cpZone,None,,,,,,,
default,Dir I>,cpcpolc,None,,,,,,,
default,Dir I>,cpcuropc,None,,,,,,,
default,Dir I>,cpcuropu,None,,,,,,,
default,Dir I>,cpolc,None,,,,,,,
default,Dir I>,cpolcr,None,,,,,,,
default,Dir I>,cpupolu,None,,,,,,,
default,Dir I>,curopc,None,,,,,,,
default,Dir I>,curopcr,None,,,,,,,
default,Dir I>,curopu,None,,,,,,,
default,Dir I>,curopur,None,,,,,,,
default,Dir I>,dat_src,None,,,,,,,
default,Dir I>,dataExtUnit,None,,,,,,,
default,Dir I>,fold_id,None,,,,,,,
default,Dir I>,for_name,None,,,,,,,
default,Dir I>,gnrl_modby,None,,,,,,,
default,Dir I>,gnrl_modif,None,,,,,,,
default,Dir I>,iSchemeStatus,None,,,,,,,
default,Dir I>,icosphi,None,,,,,,,
default,Dir I>,idir,None,,,,,,,
default,Dir I>,idpol,None,,,,,,,
default,Dir I>,imeasure,None,,,,,,,
default,Dir I>,loc_name,None,,,,,,,
default,Dir I>,mtac,None,,,,,,,
default,Dir I>,mtau,None,,,,,,,
default,Dir I>,outserv,OFF,,,,,,,
default,Dir I>,phisec,None,,,,,,,
default,Dir I>,prodc,None,,,,,,,
default,Dir I>,prodcr,None,,,,,,,
default,Dir I>,produ,None,,,,,,,
default,Dir I>,produr,None,,,,,,,
default,Dir I>,root_id,None,,,,,,,
default,Dir I>,typ_id,None,,,,,,,
default,Dir I>,upolu,None,,,,,,,
default,Dir I>,upolur,None,,,,,,,
default,Dir Ie>,AttributeType,None,,,,,,,
default,Dir Ie>,cAlpha,None,,,,,,,
default,Dir Ie>,cBeta,None,,,,,,,
default,Dir Ie>,cDisplayName,None,,,,,,,
default,Dir Ie>,cUserDefIndex,None,,,,,,,
default,Dir Ie>,c_pol,None,,,,,,,
default,Dir Ie>,c_sfansi,None,,,,,,,
default,Dir Ie>,c_sfiec,None,,,,,,,
default,Dir Ie>,charact,None,,,,,,,
default,Dir Ie>,chr_name,None,,,,,,,
default,Dir Ie>,ciDist,None,,,,,,,
default,Dir Ie>,ciDistAll,None,,,,,,,
default,Dir Ie>,ciDistAllRoot,None,,,,,,,
default,Dir Ie>,ciDistRoot,None,,,,,,,
default,Dir Ie>,ciEarthed,None,,,,,,,
default,Dir Ie>,ciEnergized,None,,,,,,,
default,Dir Ie>,ciLater,None,,,,,,,
default,Dir Ie>,ciOutaged,None,,,,,,,
default,Dir Ie>,cpArea,None,,,,,,,
default,Dir Ie>,cpBranch,None,,,,,,,
default,Dir Ie>,cpFeed,None,,,,,,,
default,Dir Ie>,cpGrid,None,,,,,,,
default,Dir Ie>,cpHeadFold,None,,,,,,,
default,Dir Ie>,cpMeteostat,None,,,,,,,
default,Dir Ie>,cpOperator,None,,,,,,,
default,Dir Ie>,cpOwner,None,,,,,,,
default,Dir Ie>,cpSite,None,,,,,,,
default,Dir Ie>,cpSubstat,None,,,,,,,
default,Dir Ie>,cpSupplySubstation,None,,,,,,,
default,Dir Ie>,cpSupplyTransformer,None,,,,,,,
default,Dir Ie>,cpSupplyTrfStation,None,,,,,,,
default,Dir Ie>,cpZone,None,,,,,,,
default,Dir Ie>,cpcpolc,None,,,,,,,
default,Dir Ie>,cpcuropc,None,,,,,,,
default,Dir Ie>,cpcuropu,None,,,,,,,
default,Dir Ie>,cpolc,None,,,,,,,
default,Dir Ie>,cpolcr,None,,,,,,,
default,Dir Ie>,cpupolu,None,,,,,,,
default,Dir Ie>,curopc,None,,,,,,,
default,Dir Ie>,curopcr,None,,,,,,,
default,Dir Ie>,curopu,None,,,,,,,
default,Dir Ie>,curopur,None,,,,,,,
default,Dir Ie>,dat_src,None,,,,,,,
default,Dir Ie>,dataExtUnit,None,,,,,,,
default,Dir Ie>,fold_id,None,,,,,,,
default,Dir Ie>,for_name,None,,,,,,,
default,Dir Ie>,gnrl_modby,None,,,,,,,
default,Dir Ie>,gnrl_modif,None,,,,,,,
default,Dir Ie>,iSchemeStatus,None,,,,,,,
default,Dir Ie>,icosphi,None,,,,,,,
default,Dir Ie>,idir,None,,,,,,,
default,Dir Ie>,idpol,None,,,,,,,
default,Dir Ie>,imeasure,None,,,,,,,
default,Dir Ie>,loc_name,None,,,,,,,
default,Dir Ie>,mtac,None,,,,,,,
default,Dir Ie>,mtau,None,,,,,,,
default,Dir Ie>,outserv,OFF,,,,,,,
default,Dir Ie>,phisec,None,,,,,,,
default,Dir Ie>,prodc,None,,,,,,,
default,Dir Ie>,prodcr,None,,,,,,,
default,Dir Ie>,produ,None,,,,,,,
default,Dir Ie>,produr,None,,,,,,,
default,Dir Ie>,root_id,None,,,,,,,
default,Dir Ie>,typ_id,None,,,,,,,
default,Dir Ie>,upolu,None,,,,,,,
default,Dir Ie>,upolur,None,,,,,,,
default,Dir I>>,AttributeType,None,,,,,,,
default,Dir I>>,cAlpha,None,,,,,,,
default,Dir I>>,cBeta,None,,,,,,,
default,Dir I>>,cDisplayName,None,,,,,,,
default,Dir I>>,cUserDefIndex,None,,,,,,,
default,Dir I>>,c_pol,None,,,,,,,
default,Dir I>>,c_sfansi,None,,,,,,,
default,Dir I>>,c_sfiec,None,,,,,,,
default,Dir I>>,charact,None,,,,,,,
default,Dir I>>,chr_name,None,,,,,,,
default,Dir I>>,ciDist,None,,,,,,,
default,Dir I>>,ciDistAll,None,,,,,,,
default,Dir I>>,ciDistAllRoot,None,,,,,,,
default,Dir I>>,ciDistRoot,None,,,,,,,
